YearMonth	Anomaly
199401	0.23
199402	0.06
199403	0.31
199404	0.4
199405	0.33
199406	0.43
199407	0.32
199408	0.25
199409	0.35
199410	0.44
199411	0.43
199412	0.39
199501	0.54
199502	0.76
199503	0.51
199504	0.5
199505	0.33
199506	0.47
199507	0.5
199508	0.53
199509	0.42
199510	0.44
199511	0.46
199512	0.31
199601	0.28
199602	0.49
199603	0.38
199604	0.34
199605	0.33
199606	0.3
199607	0.38
199608	0.45
199609	0.29
199610	0.21
199611	0.4
199612	0.36
199701	0.27
199702	0.37
199703	0.52
199704	0.39
199705	0.4
199706	0.56
199707	0.43
199708	0.47
199709	0.61
199710	0.64
199711	0.63
199712	0.58
199801	0.6
199802	0.81
199803	0.64
199804	0.73
199805	0.7
199806	0.74
199807	0.71
199808	0.72
199809	0.5
199810	0.44
199811	0.45
199812	0.58
199901	0.47
199902	0.65
199903	0.37
199904	0.37
199905	0.32
199906	0.41
199907	0.38
199908	0.38
199909	0.43
199910	0.34
199911	0.37
199912	0.47
200001	0.32
200002	0.54
200003	0.53
200004	0.59
200005	0.37
200006	0.39
200007	0.41
200008	0.44
200009	0.45
200010	0.31
200011	0.3
200012	0.3
200101	0.46
200102	0.44
200103	0.55
200104	0.53
200105	0.57
200106	0.53
200107	0.63
200108	0.54
200109	0.55
200110	0.5
200111	0.69
200112	0.62
200201	0.68
200202	0.69
200203	0.83
200204	0.56
200205	0.66
200206	0.59
200207	0.64
200208	0.57
200209	0.61
200210	0.57
200211	0.58
200212	0.51
200301	0.71
200302	0.62
200303	0.59
200304	0.58
200305	0.6
200306	0.5
200307	0.58
200308	0.65
200309	0.69
200310	0.75
200311	0.56
200312	0.74
200401	0.62
200402	0.7
200403	0.67
200404	0.62
200405	0.4
200406	0.44
200407	0.37
200408	0.5
200409	0.55
200410	0.63
200411	0.7
200412	0.54
200501	0.77
200502	0.63
200503	0.74
200504	0.69
200505	0.67
200506	0.67
200507	0.65
200508	0.6
200509	0.71
200510	0.74
200511	0.77
200512	0.73
200601	0.6
200602	0.76
200603	0.65
200604	0.55
200605	0.55
200606	0.64
200607	0.57
200608	0.71
200609	0.67
200610	0.69
200611	0.69
200612	0.78
200701	0.92
200702	0.71
200703	0.68
200704	0.78
200705	0.64
200706	0.6
200707	0.6
200708	0.57
200709	0.6
200710	0.61
200711	0.57
200712	0.49
200801	0.28
200802	0.33
200803	0.71
200804	0.52
200805	0.51
200806	0.49
200807	0.59
200808	0.53
200809	0.62
200810	0.68
200811	0.7
200812	0.59
200901	0.67
200902	0.54
200903	0.53
200904	0.58
200905	0.63
200906	0.68
200907	0.74
200908	0.71
200909	0.76
200910	0.69
200911	0.76
200912	0.72
201001	0.76
201002	0.84
201003	0.9
201004	0.88
201005	0.78
201006	0.71
201007	0.68
201008	0.66
201009	0.66
201010	0.69
201011	0.78
201012	0.51
201101	0.55
201102	0.52
201103	0.65
201104	0.67
201105	0.56
201106	0.62
201107	0.7
201108	0.7
201109	0.62
201110	0.66
201111	0.55
201112	0.59
201201	0.51
201202	0.52
201203	0.54
201204	0.72
201205	0.75
201206	0.7
201207	0.64
201208	0.67
201209	0.75
201210	0.78
201211	0.75
201212	0.53
201301	0.68
201302	0.6
201303	0.65
201304	0.6
201305	0.66
201306	0.71
201307	0.62
201308	0.69
201309	0.76
201310	0.68
201311	0.79
201312	0.71
201401	0.75
201402	0.58
201403	0.8
201404	0.79
201405	0.83
201406	0.72
201407	0.65
201408	0.83
201409	0.85
201410	0.79
201411	0.67
201412	0.8
201501	0.84
201502	0.88
201503	0.94
201504	0.82
201505	0.83
201506	0.87
201507	0.79
201508	0.84
201509	0.94
201510	1.07
201511	1.05
201512	1.12
201601	1.2
201602	1.34
201603	1.33
201604	1.14
201605	0.96
201606	0.85
201607	0.88
201608	1
201609	0.96
201610	0.87
201611	0.93
201612	0.9
201701	1.04
201702	1.1
201703	1.11
201704	0.95
201705	0.91
201706	0.77
201707	0.86
201708	0.88
201709	0.87
201710	0.91
201711	0.89
201712	0.96
201801	0.84
201802	0.89
201803	0.87
201804	0.9
201805	0.84
201806	0.8
201807	0.84
201808	0.82
201809	0.83
201810	1.02
201811	0.85
201812	0.94
201901	0.92
201902	0.91
201903	1.14
201904	1.04
201905	0.91
201906	0.92
201907	0.92
201908	0.94
201909	0.95
201910	1.02
201911	0.98
201912	1.12
202001	1.16
202002	1.21
202003	1.14
202004	1.13
202005	0.99
202006	0.93
202007	0.91
202008	0.9
202009	1
202010	0.9
202011	1.06
202012	0.82
202101	0.83
202102	0.65
202103	0.88
202104	0.8
202105	0.81
202106	0.84
202107	0.91
202108	0.88
202109	0.93
202110	0.99
202111	0.93
202112	0.89
202201	0.92
202202	0.9
202203	1.06
202204	0.88
202205	0.83
202206	0.92
202207	0.9
202208	0.92
202209	0.88
202210	0.96
202211	0.75
202212	0.82
202301	0.89
202302	1.02
202303	1.22
202304	0.99
202305	0.97
202306	1.08
202307	1.19
202308	1.26
202309	1.43
202310	1.37
202311	1.42
202312	1.38
